               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088573,            0.030505,            0.045858,             0.16633,             0.44271,             0.18514,            0.070768,            0.068875,            0.014509,             0.02805,            0.070682,           0.0032576,           0.0032576
                   1,            0.061522,            0.023305,            0.023957,             0.30653,             0.49446,             0.41204,             0.17734,            0.056493,           0.0079679,            0.017398,            0.040617,           0.0065257,           0.0065257
                   2,             0.05962,            0.019946,            0.015362,             0.42121,             0.52793,              0.4855,             0.20469,            0.060894,           0.0088867,            0.013116,            0.010485,           0.0097277,           0.0097277
                   3,            0.052688,            0.018945,            0.011531,             0.41917,             0.40319,             0.34012,             0.13916,            0.058053,             0.01654,            0.022415,            0.009703,            0.009703,            0.009703
                   4,            0.050079,            0.019541,            0.008639,             0.48391,             0.58766,             0.53902,             0.21019,            0.058739,            0.010527,             0.01189,            0.009703,            0.009703,            0.009703
                   5,            0.048527,            0.018608,           0.0074359,             0.59677,             0.53009,             0.56019,             0.25848,            0.053065,            0.011045,           0.0091388,            0.009604,            0.009604,            0.009604
                   6,             0.04579,            0.018225,           0.0067299,             0.72459,              0.6857,             0.74379,             0.32713,            0.049944,           0.0091174,           0.0065766,            0.009505,            0.009505,            0.009505
                   7,            0.044724,            0.017608,           0.0062007,             0.67564,             0.66003,             0.74616,             0.36039,            0.049934,           0.0089757,           0.0053058,            0.009406,            0.009406,            0.009406
                   8,            0.043972,            0.017816,            0.005106,             0.76771,             0.72199,             0.76913,             0.39695,            0.045887,           0.0084248,           0.0073822,            0.009307,            0.009307,            0.009307
                   9,            0.042619,            0.017064,           0.0049476,             0.72943,             0.75419,              0.7902,             0.42509,             0.04539,           0.0081659,            0.003611,            0.009208,            0.009208,            0.009208
                  10,            0.041635,               0.017,           0.0043745,             0.85546,             0.78331,             0.85542,              0.4322,            0.046641,           0.0075199,           0.0032546,            0.009109,            0.009109,            0.009109
                  11,            0.040774,            0.016588,           0.0037751,             0.85889,             0.82258,             0.87314,             0.48735,            0.040916,           0.0071343,           0.0032968,             0.00901,             0.00901,             0.00901
                  12,              0.0398,            0.016029,           0.0042927,             0.87402,             0.74831,             0.84851,              0.4734,            0.043494,            0.007773,           0.0034507,            0.008911,            0.008911,            0.008911
                  13,            0.039724,             0.01572,           0.0038892,             0.85218,             0.79714,             0.85051,             0.48326,            0.043711,           0.0075262,           0.0041737,            0.008812,            0.008812,            0.008812
                  14,            0.038977,            0.016045,           0.0040345,               0.848,             0.86819,             0.89309,             0.48296,            0.042793,           0.0077885,           0.0031569,            0.008713,            0.008713,            0.008713
                  15,            0.038198,            0.015571,           0.0038484,             0.81963,              0.7266,             0.81336,             0.47226,            0.041322,           0.0084743,           0.0046407,            0.008614,            0.008614,            0.008614
                  16,            0.038787,            0.016382,           0.0034603,             0.84843,             0.79822,             0.87446,             0.52171,            0.038266,           0.0070966,           0.0041504,            0.008515,            0.008515,            0.008515
                  17,            0.036753,            0.015463,           0.0030601,             0.87762,              0.8449,             0.89084,             0.52976,            0.039789,           0.0071659,           0.0039428,            0.008416,            0.008416,            0.008416
                  18,            0.036376,             0.01514,           0.0032838,             0.86804,             0.86726,             0.88521,             0.51207,            0.041368,           0.0070298,            0.004295,            0.008317,            0.008317,            0.008317
                  19,            0.036418,            0.015247,           0.0034728,             0.90219,             0.84584,             0.89688,             0.54129,            0.038784,           0.0073678,           0.0031512,            0.008218,            0.008218,            0.008218
                  20,             0.03599,            0.014996,           0.0032203,             0.87028,             0.80935,              0.8581,             0.52046,            0.038958,           0.0083901,           0.0035001,            0.008119,            0.008119,            0.008119
                  21,            0.035826,            0.014918,           0.0028276,             0.91875,             0.85221,             0.89135,             0.53762,            0.038884,           0.0071878,            0.002098,             0.00802,             0.00802,             0.00802
                  22,             0.03557,            0.014827,           0.0028227,             0.92956,              0.8388,             0.90534,             0.55101,            0.038361,           0.0070279,           0.0019623,            0.007921,            0.007921,            0.007921
                  23,            0.034847,            0.014965,            0.002484,             0.94393,             0.84504,             0.90115,             0.55641,            0.037343,           0.0071783,           0.0026276,            0.007822,            0.007822,            0.007822
                  24,            0.034544,             0.01454,           0.0028426,             0.88861,             0.82494,             0.88667,              0.5481,            0.039282,            0.007652,           0.0027645,            0.007723,            0.007723,            0.007723
                  25,            0.033547,            0.014638,           0.0027826,             0.80596,             0.78674,             0.84969,             0.53039,            0.039834,           0.0077275,           0.0061926,            0.007624,            0.007624,            0.007624
                  26,             0.03409,            0.014875,           0.0028981,             0.81892,             0.75107,             0.81743,             0.49375,            0.040124,           0.0082304,            0.008008,            0.007525,            0.007525,            0.007525
                  27,            0.033578,            0.014527,           0.0025479,             0.92837,             0.83713,             0.91675,             0.58207,            0.036313,           0.0072556,           0.0040475,            0.007426,            0.007426,            0.007426
                  28,            0.033065,            0.014236,           0.0024078,             0.91659,             0.84623,             0.89481,             0.56157,            0.038632,           0.0072505,           0.0027239,            0.007327,            0.007327,            0.007327
                  29,            0.033119,            0.014417,           0.0022227,              0.9079,             0.84634,             0.87966,             0.56126,            0.036938,           0.0073034,           0.0022566,            0.007228,            0.007228,            0.007228
                  30,            0.032351,            0.014035,           0.0022625,             0.89858,             0.85185,             0.87539,             0.55967,            0.038858,           0.0071359,           0.0014853,            0.007129,            0.007129,            0.007129
                  31,            0.032518,            0.014077,           0.0022669,             0.89937,              0.8414,             0.91112,             0.58799,            0.036207,           0.0070884,           0.0023286,             0.00703,             0.00703,             0.00703
                  32,            0.032029,            0.013813,           0.0022714,              0.8607,             0.80341,             0.87951,              0.5603,             0.03622,           0.0071959,           0.0034836,            0.006931,            0.006931,            0.006931
                  33,            0.032707,            0.014352,           0.0025761,             0.90004,             0.83009,              0.8672,              0.5444,            0.039996,           0.0074047,           0.0017689,            0.006832,            0.006832,            0.006832
                  34,            0.032124,            0.013681,           0.0021701,             0.88043,             0.86724,             0.89568,             0.54921,            0.036307,           0.0072994,           0.0025421,            0.006733,            0.006733,            0.006733
                  35,            0.031595,            0.013244,           0.0024591,              0.9342,             0.84378,             0.89675,             0.56061,            0.037264,           0.0073376,           0.0022641,            0.006634,            0.006634,            0.006634
                  36,            0.031397,            0.013773,            0.002304,              0.9427,              0.8643,             0.92082,             0.60974,            0.034907,           0.0068787,           0.0023776,            0.006535,            0.006535,            0.006535
                  37,            0.031286,            0.013619,           0.0020928,             0.92014,             0.88361,             0.93245,             0.61541,            0.035248,           0.0067906,           0.0019331,            0.006436,            0.006436,            0.006436
