               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032218,            0.013619,           0.0021317,             0.93951,             0.89241,             0.92981,             0.61926,            0.033801,           0.0068841,           0.0020775,             0.00769,             0.00769,             0.00769
                  37,            0.031773,            0.013491,           0.0027187,             0.91522,             0.87136,             0.91903,             0.58994,            0.034097,            0.006767,           0.0028257,            0.007624,            0.007624,            0.007624
                  38,            0.031254,            0.013734,           0.0023025,             0.92813,             0.89447,             0.92219,             0.60351,             0.03493,           0.0065459,           0.0016138,            0.007558,            0.007558,            0.007558
                  39,            0.031389,            0.013788,           0.0020036,             0.92543,             0.86046,              0.9118,             0.59245,            0.037255,           0.0070774,           0.0019678,            0.007492,            0.007492,            0.007492
                  40,            0.030974,            0.013242,           0.0020044,             0.93899,             0.86945,             0.91866,              0.6042,             0.03221,           0.0065855,           0.0011966,            0.007426,            0.007426,            0.007426
                  41,            0.030929,            0.013344,           0.0025094,             0.88423,             0.85387,             0.91155,             0.61665,            0.033797,           0.0069075,           0.0024893,             0.00736,             0.00736,             0.00736
                  42,            0.030587,             0.01301,            0.002019,             0.93307,             0.88736,             0.92173,             0.59959,            0.034615,           0.0070853,           0.0020049,            0.007294,            0.007294,            0.007294
                  43,            0.031178,            0.013216,            0.002444,             0.93977,              0.8836,             0.91918,             0.59715,            0.034156,           0.0068958,            0.001207,            0.007228,            0.007228,            0.007228
                  44,            0.030334,            0.013216,           0.0019657,             0.92719,             0.86553,             0.92665,             0.62919,            0.035907,           0.0066461,           0.0015391,            0.007162,            0.007162,            0.007162
                  45,            0.030346,            0.012885,           0.0019883,             0.91417,             0.88924,              0.9273,             0.61104,            0.032885,           0.0064411,            0.001689,            0.007096,            0.007096,            0.007096
                  46,            0.030455,            0.013136,           0.0017853,             0.93706,             0.86778,             0.90795,             0.60569,            0.037178,           0.0068667,           0.0024853,             0.00703,             0.00703,             0.00703
                  47,            0.029965,            0.013414,           0.0018483,             0.93756,             0.88944,             0.93508,             0.62576,            0.033375,           0.0067533,           0.0017012,            0.006964,            0.006964,            0.006964
                  48,            0.029749,            0.013224,           0.0018866,              0.9229,             0.87908,             0.93068,             0.62936,            0.033847,           0.0066451,           0.0022226,            0.006898,            0.006898,            0.006898
                  49,            0.029859,            0.013294,           0.0017777,             0.92192,             0.87745,              0.9231,             0.61428,            0.035242,           0.0066832,           0.0023563,            0.006832,            0.006832,            0.006832
                  50,            0.029586,             0.01312,           0.0017337,             0.94153,             0.90379,             0.94506,             0.63422,            0.033088,           0.0065141,           0.0010582,            0.006766,            0.006766,            0.006766
                  51,            0.029036,            0.013273,           0.0018516,             0.92083,             0.90871,             0.93497,             0.61266,            0.033036,           0.0065229,            0.001069,              0.0067,              0.0067,              0.0067
                  52,            0.028929,            0.013058,           0.0017764,             0.94477,             0.91199,             0.93804,             0.63063,            0.034305,           0.0066265,          0.00099865,            0.006634,            0.006634,            0.006634
                  53,            0.028693,            0.012748,            0.001685,             0.93976,             0.90534,             0.92934,             0.62347,            0.036604,           0.0067591,           0.0015762,            0.006568,            0.006568,            0.006568
                  54,            0.028463,            0.012454,            0.001661,              0.9349,             0.89918,             0.92932,             0.61368,            0.033638,           0.0064476,           0.0018498,            0.006502,            0.006502,            0.006502
                  55,            0.027967,            0.012744,           0.0015854,              0.9039,             0.88413,             0.91536,             0.61908,            0.033459,            0.006852,           0.0014005,            0.006436,            0.006436,            0.006436
                  56,              0.0284,            0.013103,            0.001726,             0.91481,             0.88477,             0.91606,             0.63644,            0.033256,           0.0066394,           0.0017936,             0.00637,             0.00637,             0.00637
                  57,            0.029206,            0.012864,           0.0016853,             0.92572,             0.90334,             0.93475,             0.63545,            0.034026,           0.0066493,           0.0011657,            0.006304,            0.006304,            0.006304
                  58,            0.028907,            0.012491,           0.0019332,             0.94515,             0.88915,              0.9268,             0.62159,            0.037686,           0.0068136,           0.0018369,            0.006238,            0.006238,            0.006238
                  59,            0.028954,            0.012597,           0.0015986,             0.94441,             0.88359,             0.93993,             0.63558,            0.033852,           0.0065531,           0.0021692,            0.006172,            0.006172,            0.006172
                  60,            0.028524,            0.012426,           0.0015597,             0.93982,             0.91161,             0.94846,             0.64007,             0.03326,           0.0065398,          0.00098785,            0.006106,            0.006106,            0.006106
                  61,            0.028216,            0.012884,           0.0015358,             0.91991,             0.89807,             0.93301,             0.62136,            0.037011,           0.0069325,           0.0019828,             0.00604,             0.00604,             0.00604
                  62,            0.027868,            0.012442,           0.0014512,             0.92872,             0.88572,             0.93326,             0.63665,            0.035744,           0.0072115,           0.0015667,            0.005974,            0.005974,            0.005974
