               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033112,            0.015074,           0.0022201,             0.89229,             0.88193,             0.91473,             0.58504,            0.035797,           0.0069558,            0.002349,            0.008317,            0.008317,            0.008317
                  36,            0.032289,            0.014872,             0.00214,             0.89096,             0.85516,             0.91463,             0.55111,            0.040317,           0.0071673,           0.0064482,           0.0082675,           0.0082675,           0.0082675
                  37,            0.031666,            0.014476,            0.002162,             0.87201,              0.8717,              0.9076,             0.57704,             0.03852,            0.006881,           0.0033798,            0.008218,            0.008218,            0.008218
                  38,            0.032447,            0.014244,            0.002156,             0.89881,             0.83357,             0.87278,             0.54317,            0.038855,           0.0078833,           0.0025146,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032667,            0.014025,           0.0026954,             0.87076,             0.84532,             0.88357,             0.57538,            0.035875,           0.0070851,           0.0027689,            0.008119,            0.008119,            0.008119
                  40,            0.032197,             0.01422,           0.0022536,             0.89355,             0.84902,             0.90692,             0.55916,            0.037117,           0.0073431,           0.0029781,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032054,            0.014798,           0.0024584,             0.87761,             0.87805,             0.91317,             0.58095,            0.036262,           0.0069734,           0.0027434,             0.00802,             0.00802,             0.00802
                  42,            0.031415,            0.014407,           0.0020632,             0.85653,             0.84005,             0.86994,             0.53086,            0.038644,               0.007,           0.0038613,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031152,            0.014668,           0.0021292,             0.90533,             0.88427,             0.92633,             0.57318,            0.038009,           0.0068398,           0.0025419,            0.007921,            0.007921,            0.007921
                  44,            0.031345,            0.013711,           0.0022512,             0.91166,             0.81304,             0.87965,             0.55372,            0.036407,           0.0076097,           0.0027921,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030731,            0.013404,           0.0023208,             0.91562,             0.88287,             0.90857,             0.58807,            0.037046,           0.0071546,            0.002145,            0.007822,            0.007822,            0.007822
                  46,            0.030604,            0.014037,           0.0018379,             0.94774,             0.86462,             0.91189,             0.56689,            0.035546,           0.0069853,           0.0024173,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030891,            0.013539,           0.0021313,             0.91456,             0.85862,             0.91344,             0.58657,            0.034598,           0.0071359,           0.0023351,            0.007723,            0.007723,            0.007723
                  48,            0.030881,            0.013822,           0.0019772,             0.84783,             0.87624,             0.90285,             0.56389,            0.038001,           0.0072155,           0.0055409,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030505,            0.014038,           0.0020058,             0.92588,             0.86198,             0.91649,             0.57269,            0.035503,           0.0068181,           0.0020655,            0.007624,            0.007624,            0.007624
                  50,            0.031105,            0.014034,           0.0018404,             0.92603,             0.86973,               0.932,             0.59599,            0.035844,           0.0068853,           0.0021872,           0.0075745,           0.0075745,           0.0075745
                  51,            0.029474,            0.013783,           0.0020335,             0.90588,             0.85325,             0.90074,             0.59491,            0.035489,           0.0072387,           0.0031634,            0.007525,            0.007525,            0.007525
                  52,            0.030304,            0.013399,           0.0021398,             0.92144,              0.8744,             0.92205,             0.58816,            0.034638,            0.006954,           0.0025047,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02961,            0.013352,           0.0021152,             0.91855,             0.86221,             0.91661,             0.58557,            0.034809,           0.0072104,           0.0021327,            0.007426,            0.007426,            0.007426
                  54,            0.029861,            0.013487,           0.0019166,             0.89418,             0.89484,              0.9055,              0.5877,            0.034674,            0.007053,           0.0021033,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029443,            0.013356,           0.0019245,             0.88864,             0.90229,             0.92437,             0.60898,            0.034972,           0.0069359,           0.0029288,            0.007327,            0.007327,            0.007327
                  56,            0.029596,            0.012984,           0.0019516,             0.88209,             0.84321,             0.91886,             0.57884,             0.03741,           0.0071187,           0.0035511,           0.0072775,           0.0072775,           0.0072775
                  57,             0.02974,            0.013149,           0.0021171,             0.89718,             0.87999,             0.91952,              0.5937,            0.034577,           0.0070539,           0.0023346,            0.007228,            0.007228,            0.007228
                  58,            0.028827,            0.013215,           0.0020745,             0.93741,             0.83744,             0.90445,              0.5836,            0.034822,            0.007452,           0.0030359,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029189,            0.013494,           0.0017106,             0.90963,              0.8748,             0.92297,             0.61331,            0.033499,            0.007122,           0.0025315,            0.007129,            0.007129,            0.007129
                  60,            0.028239,            0.013204,           0.0016222,             0.89812,             0.87626,             0.91693,             0.59657,            0.036535,           0.0070731,           0.0022475,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029214,            0.012962,           0.0015279,             0.91853,             0.89417,             0.92211,             0.59413,            0.035177,            0.007144,           0.0030763,             0.00703,             0.00703,             0.00703
                  62,            0.028556,             0.01322,           0.0017486,             0.91938,             0.84113,             0.88275,             0.57654,             0.03673,           0.0073443,           0.0022298,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028621,            0.013147,           0.0015891,             0.93032,              0.8503,             0.92473,             0.60577,            0.033729,           0.0069427,            0.002352,            0.006931,            0.006931,            0.006931
                  64,            0.029104,            0.012993,           0.0018434,             0.90972,             0.87556,             0.91656,             0.60957,            0.032872,           0.0071664,           0.0020033,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028657,            0.013547,           0.0016191,              0.8939,             0.85234,             0.90616,              0.5893,            0.034731,           0.0071749,           0.0026158,            0.006832,            0.006832,            0.006832
                  66,            0.027891,            0.012815,           0.0015865,             0.93951,             0.89921,             0.93451,             0.62885,            0.033617,           0.0068299,           0.0017187,           0.0067825,           0.0067825,           0.0067825
                  67,            0.028554,            0.012526,           0.0019671,             0.89635,             0.85801,             0.90831,             0.60364,            0.035039,           0.0072949,           0.0023668,            0.006733,            0.006733,            0.006733
                  68,             0.02839,            0.012875,           0.0015781,             0.91431,             0.85379,             0.91395,             0.60372,            0.035058,            0.006932,           0.0033679,           0.0066835,           0.0066835,           0.0066835
                  69,            0.028507,            0.013338,           0.0015518,             0.90008,              0.8543,             0.90837,             0.59329,               0.037,           0.0073304,           0.0042004,            0.006634,            0.006634,            0.006634
                  70,             0.02763,            0.012847,           0.0017203,              0.9208,             0.88726,             0.92042,             0.61279,            0.035722,           0.0072602,            0.002455,           0.0065845,           0.0065845,           0.0065845
                  71,            0.027929,            0.012863,           0.0017712,             0.91108,             0.89047,             0.94284,              0.6186,            0.033395,           0.0071483,           0.0016932,            0.006535,            0.006535,            0.006535
                  72,            0.027648,            0.013045,           0.0012403,             0.93743,             0.88844,             0.93343,              0.6149,            0.033656,           0.0068916,           0.0024963,           0.0064855,           0.0064855,           0.0064855
                  73,            0.027162,            0.012746,           0.0015074,             0.90471,             0.87258,             0.90994,             0.59366,            0.036404,            0.006894,           0.0026821,            0.006436,            0.006436,            0.006436
                  74,            0.027911,            0.012577,           0.0015268,             0.85835,             0.85589,             0.89548,             0.60322,            0.033257,           0.0067618,           0.0039045,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027184,            0.012686,           0.0013889,             0.88673,             0.87883,              0.9121,             0.61584,            0.035205,           0.0071722,           0.0028303,            0.006337,            0.006337,            0.006337
                  76,              0.0269,            0.012702,           0.0016562,             0.91472,             0.84568,             0.90351,              0.6059,            0.034807,           0.0073103,           0.0029349,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027493,            0.013097,           0.0014138,             0.91738,             0.84117,             0.91372,               0.617,            0.034389,            0.006922,           0.0025923,            0.006238,            0.006238,            0.006238
                  78,            0.028147,            0.012797,           0.0014622,             0.94696,             0.89152,             0.93507,             0.62527,            0.033136,           0.0073138,           0.0025897,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026272,            0.012301,           0.0015558,              0.8826,             0.88619,             0.93071,             0.63146,            0.033869,           0.0068738,           0.0028824,            0.006139,            0.006139,            0.006139
                  80,            0.026868,            0.012506,           0.0016394,              0.8836,             0.89937,             0.93442,             0.63735,             0.03386,            0.007048,           0.0040234,           0.0060895,           0.0060895,           0.0060895
                  81,            0.026879,            0.012349,           0.0015086,             0.89511,             0.89241,             0.92658,             0.62973,            0.034694,           0.0071764,           0.0020166,             0.00604,             0.00604,             0.00604
                  82,            0.026741,            0.012483,           0.0011337,             0.93317,             0.90612,             0.94611,             0.63546,            0.034293,           0.0070624,           0.0020221,           0.0059905,           0.0059905,           0.0059905
                  83,               0.026,            0.012069,           0.0013209,             0.91495,             0.87171,             0.92592,             0.60422,            0.034002,           0.0073232,           0.0018401,            0.005941,            0.005941,            0.005941
                  84,            0.027055,            0.012535,           0.0014815,             0.88548,              0.8652,             0.92127,             0.61582,            0.034004,           0.0073367,           0.0033882,           0.0058915,           0.0058915,           0.0058915
